country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Greece,,,,,,0.0959,0.47,1.46,4.43,9.21,13.6,17.3,20.2,22.2,24.3,26.6,29,31.8,33.5,35.1,36.9,38.4,39.8,41.9,42.9,43.9
Grenada,,,,,0.519,,0.557,2.94,5.03,6.88,8.07,11.1,12.9,13.1,14.2,15.9,16.5,17.2,18.1,19.3,23.3,27.4,27.5,26.1,29.8,
Greenland,,,,,,0.21,5.83,12.5,16.2,18.6,21.2,22.2,21.9,20.9,20,19.1,18.5,17.9,,21.7,24.1,26.1,27.9,29.9,32,
Guatemala,,,,,,,,0.207,0.292,0.418,0.678,1.1,1.79,,1.86,2.29,2.77,2.88,3.11,3.21,,3.42,3.53,3.48,5.02,5.08
Guam,,,,1.08,,,,,,1.63,1.63,1.81,1.8,,,1.81,1.81,,,,,1.85,1.85,1.83,1.84,
Guyana,,,,,,,,0.263,,0.312,0.674,0.907,1.49,2.75,4.02,4.92,6,7.08,7.49,8.44,,10.3,11.8,11.6,12.9,
"Hong Kong, China",0.168,1.3,6.63,10.6,15.2,18.5,22,24,25.9,27.2,27.6,29.1,30.5,32.2,31.3,30.8,31.2,31.9,35.4,35.7,36.3,37.5,38.5,39.2,40,39.9
Honduras,,,,,,,,,,,,,0.012,0.671,0.703,0.776,1.74,2.14,2.34,2.49,3.63,3.93,3.92,4.1,4.41,4.36
Croatia,,,,,,0.079,0.608,2.69,5.83,8.97,12.2,16.6,19.5,20.9,21.6,22.5,23.3,23.6,25.2,26.9,28,29,26.1,26.7,27.7,28.5
Haiti,,,,,,,,,,,,,,,0,0,0,0.0128,0.0126,0.276,0.284,0.28,0.276,0.273,0.307,
Hungary,,,0.0334,0.309,1.1,2.61,4.08,6.47,11.9,14.5,17.7,19.8,21.6,23.3,24.2,26.3,26.2,27.6,28.7,30.2,31.5,32.6,33.5,34.8,36.5,36.8
Indonesia,,,0.00185,0.00685,0.0173,0.0274,0.0372,0.0469,0.0831,0.329,0.409,0.766,0.926,1.1,1.18,1.27,1.31,1.52,1.98,2.33,3.29,3.77,3.93,4.49,4.82,4.82
India,,,,0.00464,0.00751,0.0126,0.0207,0.117,0.196,0.263,0.437,0.632,0.884,1.06,1.17,1.15,1.2,1.28,1.39,1.31,1.32,1.38,1.64,1.95,2.35,2.75
Ireland,,,,,0.27,1.05,3.74,7.76,13.2,17.3,19.9,21.5,22.4,23.4,24.2,25.7,27,27.8,28.6,29.1,29.4,29.6,30.4,31.4,31.5,31.9
Iran,,,0.00026,0.00098,0.0238,0.0272,,,0.136,0.268,0.397,0.523,1.28,2.7,4.79,6.42,7.54,8,9.08,10.1,11.4,9.91,10.9,12.1,12.2,12
Iraq,,,,,,,,,90µ,0.00035,0.00019,0.0004,0.01,,,,,,,10.9,11.2,11.1,14.8,14.8,14.5,17.2
Iceland,,0.0292,0.838,3.66,8.44,14.4,19.1,26.3,28.9,32.1,33.4,33.6,34.3,35,35.4,36.3,36.5,37.6,38.2,39.2,39.1,38.6,38.7,38.4,37.4,37.4
Israel,,,,0.701,3.63,9.74,14.8,18.3,20.8,22,23.8,23.9,24,25.2,25.5,25.8,27,27,27.5,28,28.6,28.7,29.6,29.7,29.2,29.4
Italy,,,0.201,0.681,1.48,3.9,8.12,11.7,14.5,17.1,18.9,20.2,21.8,22.4,22.7,23.1,23.7,24.6,25.7,27.5,28.5,29.1,30.3,31.3,31.2,31.8
Jamaica,,,,0.123,0.341,0.339,1.01,1.67,2.53,3.42,3.57,4.1,4.25,4.28,4.44,5.06,5.42,8.17,10.2,8.49,10.1,11.3,13.6,14.6,15,15.8
Jordan,,,,0.00744,0.0566,0.087,0.177,0.391,0.756,1.3,2.09,3.33,4.02,3.97,3.96,4.11,4,3.25,2.97,3.24,3.82,4.29,5.8,6.46,7.07,7.04
Japan,0.0253,0.171,0.673,3.01,7.37,11.7,15.3,18.2,20.7,22.1,23.5,25.6,26.6,27.9,28.2,28.9,29.6,30.5,31.3,31.9,32.7,33.5,34.8,35.9,36.8,38.6
Kazakhstan,,,,,,0.00634,0.0126,0.0188,0.189,1.66,2.05,3.47,5.16,6.99,9.46,11.2,12.1,12.7,12.8,13.8,13,13.1,13.5,13.9,14.5,14.3
Kenya,,,,,,,,0.0151,0.048,0.0466,0.00837,0.045,0.0165,0.127,0.124,0.165,0.221,0.287,0.276,0.586,0.74,0.959,1.29,1.48,1.48,2.39
Kyrgyz Republic,,,,,0.0007,0.00269,0.0367,0.0437,0.0523,0.0586,0.356,0.322,0.42,0.698,0.959,2.35,2.89,3.52,3.94,4.15,3.95,4.14,4.34,4.43,5.6,6.45
Cambodia,,,,,0.00039,0.00321,0.00589,0.00744,0.0213,0.0611,0.118,0.21,0.246,0.149,0.199,0.215,0.429,0.534,0.616,0.831,1.02,1.12,1.4,1.98,2.96,3.64
Kiribati,,,,,,,,0.328,0.402,0.494,0.657,0.719,0.778,0.768,0.712,0.615,0.434,0.1,0.0928,0.0923,0.0713,0.0847,0.147,0.0865,0.069,0.04
St. Kitts and Nevis,,,,,1.09,4.33,9.5,14,18.9,20.6,23.7,27.7,31.2,26.9,27.6,28.3,29.8,34.8,30.1,62.2,34.8,43.4,46,43,46.7,
South Korea,0.0303,0.598,8.28,16.6,22,23.5,25,25.5,29.3,30.5,32,33.7,35.3,36.4,36.8,37.4,38,39.3,40.1,41.2,41.2,42,43.1,44.3,45.5,46.6
Kuwait,,,,0.249,0.51,0.616,0.927,1.12,1.27,1.4,1.51,1.61,1.56,1.5,1.41,1.34,1.31,1.43,2.53,2.83,2.4,1.9,1.68,1.62,1.36,1.01
Lao,,,,,,0.00044,0.00086,0.00535,0.0124,0.0187,0.0471,0.0692,0.0929,0.102,0.116,0.137,0.24,0.214,0.354,0.388,0.637,1.05,1.67,2.02,2.38,2.72
Lebanon,,,,,0,0,0,0,0,1.03,2.03,3.95,6.57,7.89,9.09,8.36,17.8,,,,,7.25,7.58,7.56,7.29,
Liberia,,,,,,,,,,,0.00288,0.0038,0.00458,0.00149,0.012,0.114,0.131,0.15,0.168,0.186,,0.218,0.252,0.247,0.275,
Libya,,,,,,,,,,,0.742,0.99,1.12,1.1,1.09,1.03,0.977,0.934,2.55,4.72,,4.57,4.71,4.65,4.52,
St. Lucia,,,,,,0.859,2.31,4.23,4.31,6.6,9.2,10.9,12,12.4,14.2,14.2,16.2,16.3,17,18,18.2,8.88,20,10.7,13.6,
Liechtenstein,,,,,4.26,4.4,13.8,24.8,28.6,40.3,43.9,44.7,42.4,37.5,39.4,40.7,42,42,42.4,42.9,43.8,44.7,46.6,47.5,48.9,49.4
Sri Lanka,,,,0.00167,0.00299,0.0171,0.102,0.104,0.112,0.309,0.494,0.817,1.09,1.71,1.67,1.99,2.63,2.88,4.07,5.53,6.94,7.44,7.9,10.5,9.64,8.77
Lesotho,,,,,,,0.00112,0.0023,,0.00563,0.00712,0.0202,0.02,0.0665,0.0804,0.111,0.0722,0.098,0.105,0.223,0.264,0.209,0.226,0.354,0.398,0.384
Lithuania,,,,0.0699,0.581,1.96,3.82,7.05,11.3,17.3,18.4,20,21.9,24,25.7,28.3,27.3,28.7,29.9,28.2,28.1,28.3,28.5,28.7,28.4,28
Luxembourg,,,,0.275,1.31,3.4,7.96,15.1,20.9,26.8,29.3,31.3,33.2,32.7,32,32.5,33.6,34.3,34.8,36,36.9,37.4,37.3,38,38.3,
Latvia,,,0.012,0.138,0.433,0.853,2.17,2.71,4.94,15.4,18.9,21.2,20.7,22.2,23.4,24.6,25.3,25.5,26.5,27.1,27.3,26.6,25.8,26,26,26
"Macao, China",,,0.853,2.2,3.72,5.92,9.38,13.7,18.1,21.2,22.7,23,23.5,23.9,24.6,25.4,26.5,27.3,28.1,28.8,29.3,29.8,30.5,29.6,29.6,29.7
Morocco,,,,,0.00685,0.00917,0.216,0.821,1.27,1.53,1.56,1.5,1.55,1.81,2.07,2.5,2.9,3.32,3.58,3.89,4.33,4.84,5.75,6.15,6.47,7.02
Monaco,,,2.46,8.19,15.1,20.2,23.5,29.5,34.3,38.6,40.8,41.4,41.6,46.9,46.8,47.7,49.3,49.9,49.9,51.1,51.6,53.7,54.9,54.9,55.2,55.9
Moldova,,,,0.0057,0.0101,0.0146,0.06,0.261,0.556,1.37,3.05,5.06,7.45,10,12,13.8,15.2,16.3,17.2,18.3,19.8,21.5,23.4,25.2,26.3,27.4
